"subID"	"mode"	"trial"	"choice"	"reaction_time"	"reward"	"condition"	"reward_prob_1"	"reward_prob_2"	"payoff_1"	"payoff_2"
"02"	"main"	22	1	0.836306800018065	1	0	0.762212792355211	0.240827910004588	1	1
"02"	"main"	23	1	0.495316500018816	0	0	0.832741819082016	0.242376315383812	1	0
"02"	"main"	24	1	1.34075890004169	1	0	0.87572801016491	0.210653147288722	1	1
"02"	"main"	25	0	0.491258899972308	0	0	0.901392550517004	0.287858765558841	0	0
"02"	"main"	26	1	0.451199100003578	1	1	0.5	0.5	0	1
"02"	"main"	27	1	0.885231599968392	0	0	0.47198289108407	0.479630803239395	0	0
"02"	"main"	28	0	0.321247500018217	0	0	0.451300860354397	0.563081093554472	0	1
"02"	"main"	29	0	0.374776300042868	1	0	0.344672941990869	0.579265483657169	1	1
"02"	"main"	30	1	0.627865499991458	0	0	0.337454289592964	0.594321228446069	1	0
"02"	"main"	31	1	0.525164299993776	0	0	0.367445229764992	0.580178205706305	1	0
"02"	"main"	32	1	0.679237900010776	1	0	0.497671249472267	0.58248521812116	0	1
"02"	"main"	33	0	0.4299734000233	1	0	0.333359355352326	0.623555180838034	1	1
"02"	"main"	34	0	0.540633700031321	0	0	0.241652282988025	0.686746779602761	0	1
"02"	"main"	35	0	0.552785000007134	1	1	0.195454841650344	0.661038457638478	1	1
"02"	"main"	36	0	0.443873399985023	0	0	0.180653959002254	0.685892261089408	0	1
"02"	"main"	37	1	0.457750600005966	0	0	0.258591041399634	0.712566846639682	1	0
"02"	"main"	38	0	0.425716199970338	1	0	0.303400046978359	0.719395712538573	1	1
"02"	"main"	39	0	0.583729699952528	1	0	0.277412315124341	0.749736745991295	1	1
"02"	"main"	40	0	0.443282600026578	0	0	0.320351770924529	0.776182387945535	0	1
"02"	"main"	41	1	0.438671200012323	1	0	0.26847779415513	0.880962369563303	0	1
"02"	"main"	42	0	0.47918630001368	1	1	0.334608505925852	0.834700648247268	1	1
"02"	"main"	43	0	0.663149499974679	0	0	0.257925492353917	0.867215787680252	0	1
"02"	"main"	44	1	0.520596899965312	1	0	0.407413615867797	0.783146094047992	0	1
"02"	"main"	45	0	0.813672999967821	0	0	0.425344217763901	0.826438187211729	0	1
"02"	"main"	46	0	0.46861490001902	1	0	0.466287605695082	0.82276383754746	1	1
"02"	"main"	47	0	0.541254299983848	1	0	0.46997818613805	0.83942550003661	1	0
"02"	"main"	48	1	0.466562499990687	1	1	0.509206483141894	0.791160598984749	1	1
"02"	"main"	49	0	0.503692300000694	0	0	0.518408421999646	0.772768505769246	0	1
"02"	"main"	50	1	0.459809499967378	1	0	0.563742787765027	0.821121422404046	0	1
"02"	"main"	51	1	0.371144599979743	1	0	0.476613123106746	0.844272177412898	1	1
"02"	"main"	52	1	0.393679100030567	1	0	0.51016316381515	0.875986259295828	0	1
"02"	"main"	53	0	0.612257400003728	0	0	0.537304612055424	0.945703829793078	0	1
"02"	"main"	54	0	0.593847000040114	1	1	0.5	0.5	1	1
"02"	"main"	55	1	0.567691600008402	1	0	0.581265985279672	0.492952738728127	1	1
"02"	"main"	56	0	0.489769199979492	1	0	0.532370029676829	0.517844152000677	1	0
"02"	"main"	57	1	0.358483799966052	1	0	0.63320557342562	0.532542370027412	0	1
"02"	"main"	58	0	0.422921799996402	0	0	0.616819735713173	0.575295028107811	0	0
"02"	"main"	59	0	0.513023999985307	1	0	0.620794210781112	0.529700206254975	1	1
"02"	"main"	60	0	0.44502540002577	1	0	0.692799118934886	0.472623485360633	1	0
"02"	"main"	61	1	0.339066800021101	0	0	0.630777930827792	0.540848790223134	1	0
"02"	"main"	62	1	0.46759800001746	1	1	0.601061016580427	0.562953817181234	1	1
"02"	"main"	63	0	0.443754999956582	1	0	0.593862827930525	0.548533525677581	1	1
